"고유번호","읍면동코드","읍면동명 한글","읍면동명 영문","위도","경도"
"109","11110151","묘동","Myo-dong","37.5725522","126.9918441"
"110","11110154","장사동","Jangsa-dong","37.5692358","126.9942546"
"204","11140123","회현동3가","Hoehyeon-dong 3(sam)-ga","37.560059","126.9840944"
"111","11140133","충무로5가","Chungmuro 5(o)-ga","37.5625808","126.999591"
"113","11110132","운니동","Unni-dong","37.576392","126.9883162"
"114","11380106","대조동","Daejo-dong","37.6126506","126.9243915"
"115","11530110","온수동","Onsu-dong","37.4936808","126.8204195"
"116","11110113","필운동","Pirun-dong","37.5768799","126.9677042"
"83","11110173","명륜3가","Myeongnyun 3(sam)-ga","37.5873096","126.993071"
"84","11260102","상봉동","Sangbong-dong","37.6001601","127.0832215"
"85","11305102","번동","Beon-dong","37.6292269","127.0363793"
"86","11680112","자곡동","Jagok-dong","37.4766387","127.1001172"
"87","11110128","관훈동","Gwanhun-dong","37.5741579","126.9847962"
"89","11110174","창신동","Changsin-dong","37.5760033","127.0135248"
"90","11110175","숭인동","Sungin-dong","37.5766752","127.0190654"
"91","11140153","방산동","Bangsan-dong","37.5685483","127.0031306"
"92","11140140","남학동","Namhak-dong","37.5605244","126.9909108"
"93","11140158","충무로3가","Chungmuro 3(sam)-ga","37.5622482","126.9919615"
"94","11140109","장교동","Janggyo-dong","37.5674834","126.9870581"
"96","11260101","면목동","Myeonmok-dong","37.5819253","127.0902098"
"99","11110162","효제동","Hyoje-dong","37.5733424","127.0034709"
"103","11500105","마곡동","Magok-dong","37.574112","126.8309814"
"105","11500112","오곡동","Ogok-dong","37.5534112","126.7831645"
"106","11350103","공릉동","Gongneung-dong","37.6304774","127.0884819"
"107","11290103","돈암동","Donam-dong","37.5971818","127.0178327"
"112","11140152","주교동","Jugyo-dong","37.5682735","126.9989423"
"117","11110106","통의동","Tongui-dong","37.5779984","126.9727227"
"125","11110161","종로4가","Jongno 4(sa)-ga","37.5706899","126.9979795"
"131","11110152","봉익동","Bongik-dong","37.572373","126.9930164"
"134","11110144","사간동","Sagan-dong","37.5772363","126.9805782"
"127","11260103","중화동","Junghwa-dong","37.600464","127.078447"
"128","11260105","망우동","Mangu-dong","37.6003767","127.1056494"
"129","11530109","궁동","Gung-dong","37.5009522","126.8286616"
"130","11530111","천왕동","Cheonwang-dong","37.4801779","126.8394455"
"132","11500103","화곡동","Hwagok-dong","37.5421699","126.8468434"
"135","11140157","산림동","Sallim-dong","37.5676122","126.9961712"
"136","11110176","교남동","Gyonam-dong","37.5684349","126.9644742"
"137","11140166","서소문동","Seosomun-dong","37.5629167","126.9739585"
"143","11110166","연건동","Yeongeon-dong","37.5784882","126.9996745"
"144","11110169","혜화동","Hyehwa-dong","37.587822","127.0023231"
"145","11110160","연지동","Yeonji-dong","37.5737459","127.0001197"
"146","11140128","남산동1가","Namsan-dong 1(il)-ga","37.5591789","126.9847191"
"147","11140108","수하동","Suha-dong","37.5674173","126.9846423"
"148","11140171","중림동","Jungnim-dong","37.5591646","126.965563"
"149","11680101","역삼동","Yeoksam-dong","37.4998676","127.0386903"
"150","11440104","도화동","Dohwa-dong","37.5395606","126.9506257"
"138","11140113","북창동","Bukchang-dong","37.5624854","126.9782512"
"139","11110167","충신동","Chungsin-dong","37.574766","127.0059177"
"140","11110178","송월동","Songwol-dong","37.5701811","126.9653069"
"141","11110164","종로6가","Jongno 6(yuk)-ga","37.5722418","127.0072742"
"142","11110165","이화동","Ihwa-dong","37.5773254","127.0054708"
"119","11140120","봉래동2가","Bongnae-dong 2(i)-ga","37.5567475","126.9713415"
"120","11110129","견지동","Gyeonji-dong","37.5737344","126.983095"
"121","11110137","낙원동","Nagwon-dong","37.5725546","126.9886249"
"122","11110138","종로2가","Jongno 2(i)-ga","37.5707645","126.9863064"
"162","11110131","권농동","Gwonnong-dong","37.576109","126.9917567"
"123","11140139","필동3가","Pil-dong 3(sam)-ga","37.5577553","126.9973741"
"124","11140121","회현동1가","Hoehyeon-dong 1(il)-ga","37.5571575","126.9816996"
"126","11110145","송현동","Songhyeon-dong","37.5770464","126.9819272"
"133","11110163","종로5가","Jongno 5(o)-ga","37.5707296","127.0033505"
"156","11110177","평동","Pyeong-dong","37.5676735","126.9668356"
"157","11140111","소공동","Sogong-dong","37.5638976","126.9799894"
"158","11110170","명륜1가","Myeongnyun 1(il)-ga","37.5889535","126.9974082"
"160","11110157","인의동","Inui-dong","37.5726289","126.9980207"
"161","11110143","화동","Hwa-dong","37.5806863","126.9826104"
"169","11140126","명동1가","Myeong-dong 1(il)-ga","37.5644525","126.9844716"
"170","11140107","삼각동","Samgak-dong","37.5679302","126.9847935"
"171","11140112","남창동","Namchang-dong","37.5580671","126.9775971"
"172","11110183","평창동","Pyeongchang-dong","37.6139675","126.9743019"
"173","11305104","우이동","Ui-dong","37.6632405","126.9992184"
"174","11740102","고덕동","Godeok-dong","37.5655385","127.1576826"
"177","11140136","묵정동","Mukjeong-dong","37.5614488","127.0005455"
"176","11110146","가회동","Gahoe-dong","37.5828064","126.984865"
"178","11110149","원서동","Wonseo-dong","37.5841834","126.9880869"
"180","11110136","인사동","Insa-dong","37.5720605","126.9859557"
"185","11110120","신문로1가","Sinmunno 1(il)-ga","37.5703732","126.9740725"
"187","11140156","입정동","Ipjeong-dong","37.5677264","126.9927713"
"188","11140119","봉래동1가","Bongnae-dong 1(il)-ga","37.5589096","126.9729617"
"189","11140124","충무로1가","Chungmuro 1(il)-ga","37.5610267","126.9826401"
"190","11140118","남대문로5가","Namdaemunno 5(o)-ga","37.5563671","126.9763019"
"192","11140135","예관동","Yegwan-dong","37.5640814","126.998038"
"181","11110110","누하동","Nuha-dong","37.5793623","126.9680058"
"182","11110124","수송동","Susong-dong","37.5738606","126.98058"
"183","11110150","훈정동","Hunjeong-dong","37.5742191","126.994071"
"184","11110168","동숭동","Dongsung-dong","37.58161","127.0051706"
"163","11140106","남대문로1가","Namdaemunno 1(il)-ga","37.5675948","126.9831124"
"165","11140168","순화동","Sunhwa-dong","37.5623459","126.9708091"
"166","11140101","무교동","Mugyo-dong","37.5680651","126.9788677"
"167","11140165","황학동","Hwanghak-dong","37.5685914","127.0204708"
"168","11140125","충무로2가","Chungmuro 2(i)-ga","37.5617555","126.9877462"
"151","11215102","능동","Neung-dong","37.5511329","127.0818924"
"152","11500101","염창동","Yeomchang-dong","37.5559718","126.8712411"
"153","11140161","저동2가","Jeo-dong 2(i)-ga","37.5643088","126.9899009"
"155","11140151","을지로5가","Euljiro 5(o)-ga","37.5668186","127.0021804"
"262","11680110","압구정동","Apgujeong-dong","37.52883","127.0295048"
"272","11140173","만리동1가","Malli-dong 1(il)-ga","37.5558883","126.9669835"
"278","11140122","회현동2가","Hoehyeon-dong 2(i)-ga","37.5585169","126.9827614"
"281","11110172","명륜4가","Myeongnyun 4(sa)-ga","37.5823905","126.9998063"
"288","11440118","당인동","Dangin-dong","37.5447269","126.9194339"
"297","11680106","대치동","Daechi-dong","37.4989487","127.0646585"
"199","11740107","암사동","Amsa-dong","37.5577912","127.1295094"
"201","11215109","군자동","Gunja-dong","37.5532424","127.0734926"
